,chembl_id,pref_name,canonical_smiles,max_phase_x,molregno,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,max_phase_y,pass_ratio
10,CHEMBL99,TRICHOSTATIN,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,1,11501,302.37,2.58,4.0,2.0,69.64,6.0,N,0.0,9.57,3.36,2.41,2.41,NEUTRAL,302.37,1.0,22.0,0.28,302.163,C17H22N2O3,5.0,2.0,0.0,0.58,1,0.8571428571428571
11,CHEMBL273481,MUSCIMOL,NCc1cc(O)no1,1,12170,114.1,-0.16,4.0,2.0,72.28,1.0,N,0.0,7.0,5.03,-1.69,-2.28,NEUTRAL,114.1,1.0,8.0,0.53,114.0429,C4H6N2O2,4.0,3.0,0.0,-0.57,1,0.7142857142857143
12,CHEMBL441765,U-50488 METHANE SULFONATE,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1,1,13693,369.34,4.4,2.0,0.0,23.55,4.0,N,0.0,,9.65,4.3,2.07,BASE,369.34,1.0,24.0,0.79,368.1422,C19H26Cl2N2O,3.0,0.0,0.0,-0.64,1,0.7142857142857143
13,CHEMBL15980,CYCLOHEXANE,C1CCCCC1,1,16602,84.16,2.34,0.0,0.0,0.0,0.0,Y,0.0,,,2.67,2.67,,84.16,0.0,6.0,0.42,84.0939,C6H12,0.0,0.0,0.0,-0.04,1,0.7142857142857143
14,CHEMBL16293,NAPHTHALENE,c1ccc2ccccc2c1,1,16789,128.17,2.84,0.0,0.0,0.0,0.0,Y,0.0,,,2.96,2.96,,128.17,2.0,10.0,0.51,128.0626,C10H8,0.0,0.0,0.0,-0.25,1,0.7142857142857143
15,CHEMBL17289,CHS-828,N#CN=C(NCCCCCCOc1ccc(Cl)cc1)Nc1ccncc1,1,18696,371.87,4.21,4.0,2.0,82.33,9.0,N,0.0,,5.61,3.93,3.92,NEUTRAL,371.87,2.0,26.0,0.3,371.1513,C19H22ClN5O,6.0,2.0,0.0,-1.38,1,0.7142857142857143
16,CHEMBL19344,HIGENAMINE,Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1,1,22875,271.32,2.23,4.0,4.0,72.72,2.0,N,0.0,8.56,9.47,2.36,1.41,BASE,271.32,2.0,20.0,0.63,271.1208,C16H17NO3,4.0,4.0,0.0,1.38,1,0.7142857142857143
17,CHEMBL279433,L-778123,N#Cc1ccc(Cn2cncc2CN2CCN(c3cccc(Cl)c3)C(=O)C2)cc1,1,29948,405.89,3.31,5.0,0.0,65.16,5.0,N,0.0,,6.13,2.73,2.71,NEUTRAL,405.89,3.0,29.0,0.65,405.1356,C22H20ClN5O,6.0,0.0,0.0,-1.89,1,0.8571428571428571
18,CHEMBL23832,FENAMIC ACID ,O=C(O)c1ccccc1Nc1ccccc1,1,30111,213.24,3.13,2.0,2.0,49.33,3.0,N,0.0,3.88,,4.37,1.15,ACID,213.24,2.0,16.0,0.82,213.079,C13H11NO2,3.0,2.0,0.0,-0.77,1,0.8571428571428571
19,CHEMBL281872,ZD-4190,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,1,33600,459.28,3.95,8.0,1.0,86.98,7.0,N,0.0,,4.47,3.9,3.9,NEUTRAL,459.28,4.0,29.0,0.45,458.0502,C19H16BrFN6O2,8.0,1.0,0.0,-1.82,1,1.0
20,CHEMBL718,METHYLDOPA (RACEMIC),CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,1,34757,211.22,0.44,4.0,4.0,103.78,3.0,N,0.0,1.73,9.85,-1.36,-1.37,ZWITTERION,211.22,1.0,15.0,0.54,211.0845,C10H13NO4,5.0,5.0,0.0,1.09,1,0.5714285714285714
21,CHEMBL26687,MESCALINE,COc1cc(CCN)cc(OC)c1OC,1,37555,211.26,1.21,4.0,1.0,53.71,5.0,N,0.0,,9.77,0.91,-1.37,BASE,211.26,1.0,15.0,0.8,211.1208,C11H17NO3,4.0,2.0,0.0,0.52,1,1.0
22,CHEMBL30054,DPOC-4088,O=C(Cn1c(Cl)cnc(NCC(F)(F)c2ccccn2)c1=O)NCc1ncccc1F,1,37716,452.82,2.35,7.0,2.0,101.8,8.0,N,0.0,11.82,2.4,1.22,1.22,NEUTRAL,452.82,3.0,31.0,0.54,452.0975,C19H16ClF3N6O2,8.0,2.0,0.0,-1.68,1,0.8571428571428571
23,CHEMBL284116,5-AMINOVALERIC ACID,NCCCCC(=O)O,1,46456,117.15,0.2,2.0,2.0,63.32,4.0,N,0.0,4.65,10.21,-2.44,-2.44,ZWITTERION,117.15,0.0,8.0,0.52,117.079,C5H11NO2,3.0,3.0,0.0,0.99,1,0.5714285714285714
24,CHEMBL36255,COMBRETASTATIN A-1,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)c(O)c1O,1,48400,332.35,3.3,6.0,2.0,77.38,6.0,N,0.0,9.39,,3.08,3.07,NEUTRAL,332.35,2.0,24.0,0.62,332.126,C18H20O6,6.0,2.0,0.0,0.65,1,0.7142857142857143
25,CHEMBL35306,NIKKOMYCIN,C[C@@H]([C@H](N)C(=O)N[C@H](C(=O)O)[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)[C@H](O)c1ccc(O)cn1,1,49344,495.45,-3.48,12.0,8.0,250.32,8.0,N,2.0,2.8,8.76,-5.65,-5.79,ZWITTERION,495.45,2.0,35.0,0.18,495.1601,C20H25N5O10,15.0,9.0,2.0,1.11,1,0.42857142857142855
26,CHEMBL284121,ILX23-7553,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)CC#CC(C)(C)O)=CC[C@@H]23)C[C@@H](O)C[C@@H]1O,1,49481,410.6,4.85,3.0,3.0,60.69,3.0,N,0.0,,,3.69,3.69,NEUTRAL,410.6,0.0,30.0,0.46,410.2821,C27H38O3,3.0,3.0,0.0,2.14,1,0.7142857142857143
27,CHEMBL37676,APC-100,Cc1c(C)c2c(c(C)c1O)CCC(C)(C)O2,1,52642,220.31,3.42,2.0,1.0,29.46,0.0,N,0.0,10.8,,4.23,4.23,NEUTRAL,220.31,1.0,16.0,0.73,220.1463,C14H20O2,2.0,1.0,0.0,1.55,1,0.7142857142857143
28,CHEMBL438945,HUMAN NEUROPEPTIDE Y,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O)[C@@H](C)CC,1,63069,4271.75,,,,,,,,,,,,,4271.75,,,,4269.0814,C189H285N55O57S,,,,,1,0.2857142857142857
29,CHEMBL295316,PLUMBAGIN,CC1=CC(=O)c2c(O)cccc2C1=O,1,63417,188.18,1.72,3.0,1.0,54.37,0.0,Y,0.0,8.28,,2.24,2.18,NEUTRAL,188.18,1.0,14.0,0.67,188.0473,C11H8O3,3.0,1.0,0.0,1.77,1,0.5714285714285714
30,CHEMBL46730,PHENANTHRENE,c1ccc2c(c1)ccc1ccccc12,1,67104,178.23,3.99,0.0,0.0,0.0,0.0,N,0.0,,,3.95,3.95,,178.23,3.0,14.0,0.46,178.0783,C14H10,0.0,0.0,0.0,-0.22,1,0.42857142857142855
31,CHEMBL44752,METHYL P-TOLUENESULFONYL-L-ARGININATE,COC(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c1ccc(C)cc1,1,68640,342.42,0.08,5.0,4.0,134.37,8.0,N,0.0,10.35,11.92,0.23,-1.75,BASE,342.42,1.0,23.0,0.23,342.1362,C14H22N4O4S,8.0,5.0,0.0,-0.64,1,0.7142857142857143
32,CHEMBL296468,BMS-387032,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,1,71663,380.54,3.66,7.0,2.0,80.05,5.0,N,0.0,7.94,10.17,0.94,0.33,BASE,380.54,2.0,25.0,0.77,380.1341,C17H24N4O2S2,6.0,2.0,0.0,-1.68,1,1.0
33,CHEMBL297792,S-3304,Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,1,73325,464.57,3.91,4.0,3.0,99.26,6.0,N,0.0,3.37,,5.32,1.9,ACID,464.57,4.0,32.0,0.38,464.0864,C24H20N2O4S2,6.0,3.0,0.0,-0.77,1,0.7142857142857143
34,CHEMBL49120,PD-0166285,CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,1,75258,512.44,5.77,7.0,1.0,72.28,9.0,N,2.0,,9.37,5.7,3.74,BASE,512.44,4.0,35.0,0.31,511.1542,C26H27Cl2N5O2,7.0,1.0,2.0,-1.24,1,0.42857142857142855
35,CHEMBL440115,FK453,O=C(/C=C/c1c(-c2ccccc2)nn2ccccc12)N1CCCC[C@@H]1CCO,1,77702,375.47,3.78,4.0,1.0,57.84,5.0,N,0.0,,1.61,3.62,3.62,NEUTRAL,375.47,3.0,28.0,0.69,375.1947,C23H25N3O2,5.0,1.0,0.0,-0.82,1,0.7142857142857143
36,CHEMBL299155,TRANSTORINE,O=C(O)c1cc(=O)c2ccccc2[nH]1,1,78306,189.17,1.23,2.0,2.0,70.16,1.0,N,0.0,2.97,,1.58,-1.89,ACID,189.17,2.0,14.0,0.71,189.0426,C10H7NO3,4.0,2.0,0.0,0.01,1,0.7142857142857143
37,CHEMBL292439,NORLEUCINE,CCCC[C@H](N)C(=O)O,1,84806,131.18,0.59,2.0,2.0,63.32,4.0,N,0.0,2.79,9.53,-1.43,-1.43,ZWITTERION,131.18,0.0,9.0,0.59,131.0946,C6H13NO2,3.0,3.0,0.0,1.17,1,0.7142857142857143
38,CHEMBL54893,UC 781,CC(C)=CCOc1cc(NC(=S)c2ccoc2C)ccc1Cl,1,84850,335.86,5.37,3.0,1.0,34.4,5.0,N,1.0,10.85,,5.1,5.1,NEUTRAL,335.86,2.0,22.0,0.59,335.0747,C17H18ClNO2S,3.0,1.0,1.0,-0.86,1,0.2857142857142857
39,CHEMBL292687,DINITROCHLOROBENZENE,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,1,93528,202.55,2.16,4.0,0.0,86.28,2.0,N,0.0,,,2.46,2.46,NEUTRAL,202.55,1.0,13.0,0.54,201.9781,C6H3ClN2O4,6.0,0.0,0.0,-1.9,1,0.8571428571428571
40,CHEMBL62382,METHYLSELENOCYSTEINE,C[Se]C[C@H](N)C(=O)O,1,98058,182.08,,,,,,,,,,,,,182.08,,,,182.9798,C4H9NO2Se,,,,,1,0.5714285714285714
41,CHEMBL65547,PSILOCIN,CN(C)CCc1c[nH]c2cccc(O)c12,1,102382,204.27,1.98,2.0,2.0,39.26,3.0,Y,0.0,8.97,9.78,1.15,-0.1,BASE,204.27,2.0,15.0,0.8,204.1263,C12H16N2O,3.0,2.0,0.0,0.31,1,0.8571428571428571
42,CHEMBL70971,CARBENDAZIM,COC(=O)Nc1nc2ccccc2[nH]1,1,112258,191.19,1.74,3.0,2.0,67.01,1.0,N,0.0,9.7,4.28,1.8,1.8,NEUTRAL,191.19,2.0,14.0,0.72,191.0695,C9H9N3O2,5.0,2.0,0.0,-1.1,1,0.7142857142857143
43,CHEMBL305686,CORDYCEPIN,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O,1,118239,251.25,-0.95,8.0,3.0,119.31,2.0,N,0.0,13.53,3.94,-1.4,-1.4,NEUTRAL,251.25,2.0,18.0,0.63,251.1018,C10H13N5O3,8.0,4.0,0.0,1.37,1,0.8571428571428571
44,CHEMBL77101,DIETHYLHOMOSPERMINE,CCNCCCCNCCCCNCCCCNCC,1,122969,286.51,1.73,4.0,4.0,48.12,17.0,N,0.0,,11.29,1.16,-10.66,BASE,286.51,0.0,20.0,0.31,286.3096,C16H38N4,4.0,4.0,0.0,-0.07,1,0.5714285714285714
45,CHEMBL313155,NEOTETRAZOLIUM CHLORIDE,[Cl-].[Cl-].c1ccc(-c2nn(-c3ccccc3)[n+](-c3ccc(-c4ccc(-[n+]5nc(-c6ccccc6)nn5-c5ccccc5)cc4)cc3)n2)cc1,1,139188,596.7,6.4,6.0,0.0,69.18,7.0,N,2.0,,,5.02,5.02,NEUTRAL,667.6,8.0,46.0,0.2,596.2426,C38H28Cl2N8,8.0,0.0,2.0,-0.44,1,0.42857142857142855
46,CHEMBL105184,BIFENDATE,COC(=O)c1cc(OC)c2c(c1-c1c(C(=O)OC)cc(OC)c3c1OCO3)OCO2,1,167312,418.35,2.4,10.0,0.0,107.98,5.0,N,0.0,,,2.56,2.56,NEUTRAL,418.35,2.0,30.0,0.67,418.09,C20H18O10,10.0,0.0,0.0,0.42,1,0.8571428571428571
47,CHEMBL1132,NORNICOTINE,c1cncc(C2CCCN2)c1,1,170347,148.21,1.51,2.0,1.0,24.92,1.0,Y,0.0,,9.92,0.78,-1.67,BASE,148.21,1.0,11.0,0.65,148.1,C9H12N2,2.0,1.0,0.0,-0.09,1,0.7142857142857143
48,CHEMBL106939,DASB,CN(C)Cc1ccccc1Sc1ccc(C#N)cc1N,1,172642,283.4,3.35,4.0,1.0,53.05,4.0,N,0.0,,8.15,3.13,2.31,NEUTRAL,283.4,2.0,20.0,0.87,283.1143,C16H17N3S,3.0,2.0,0.0,-1.33,1,0.7142857142857143
49,CHEMBL333021,L-21649,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)cs1,1,195284,404.54,4.99,6.0,0.0,42.66,6.0,N,0.0,,8.81,4.44,3.02,BASE,404.54,4.0,29.0,0.45,404.1671,C23H24N4OS,5.0,0.0,0.0,-1.98,1,0.8571428571428571
50,CHEMBL118722,TRIBUTYRIN,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,1,196488,302.37,2.38,6.0,0.0,78.9,11.0,N,0.0,,,2.92,2.92,,302.37,0.0,21.0,0.43,302.1729,C15H26O6,6.0,0.0,0.0,0.53,1,0.5714285714285714
51,CHEMBL126159,LMP-744,COc1cc2c3c(n(CCCNCCO)c(=O)c2cc1OC)-c1cc2c(cc1C3=O)OCO2,1,200851,452.46,1.93,9.0,2.0,108.25,8.0,N,0.0,,9.63,0.43,-1.77,BASE,452.46,3.0,33.0,0.39,452.1584,C24H24N2O7,9.0,2.0,0.0,0.33,1,0.5714285714285714
52,CHEMBL129857,AS-602868,COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12,1,218011,366.4,3.01,7.0,1.0,84.42,4.0,N,0.0,13.91,3.9,3.64,3.64,NEUTRAL,366.4,3.0,26.0,0.71,366.0787,C18H14N4O3S,7.0,1.0,0.0,-0.97,1,0.8571428571428571
53,CHEMBL134702,BUTANE,CCCC,1,222085,58.12,1.81,0.0,0.0,0.0,1.0,Y,0.0,,,2.24,2.24,,58.12,0.0,4.0,0.43,58.0783,C4H10,0.0,0.0,0.0,-0.02,1,0.7142857142857143
54,CHEMBL359227,INULINE,CCN1C[C@]2(COC(=O)c3ccccc3N)CC[C@H](OC)[C@]34C5C[C@@H]6[C@@H](OC)C[C@@](O)(C5[C@H]6OC)[C@@](O)(C13)[C@@H](OC)C24,1,241049,586.73,1.72,10.0,3.0,132.94,8.0,N,1.0,12.22,9.7,0.88,-1.41,BASE,586.73,1.0,42.0,0.31,586.3254,C32H46N2O8,10.0,4.0,1.0,2.92,1,0.42857142857142855
55,CHEMBL147806,GSK-369796,CC(C)(C)NCc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O,1,242691,355.87,5.23,4.0,3.0,57.18,4.0,N,1.0,8.5,10.5,3.32,2.3,BASE,355.87,3.0,25.0,0.6,355.1451,C20H22ClN3O,4.0,3.0,1.0,-0.99,1,0.2857142857142857
56,CHEMBL146673,(NORTH)-METHANOCARBATHYMIDINE,Cc1cn([C@H]2C[C@H](O)[C@]3(CO)C[C@H]23)c(=O)[nH]c1=O,1,245040,252.27,-0.85,5.0,3.0,95.32,2.0,N,0.0,10.01,,-1.42,-1.42,NEUTRAL,252.27,1.0,18.0,0.64,252.111,C12H16N2O4,6.0,3.0,0.0,1.2,1,0.8571428571428571
57,CHEMBL146927,CPP-115,N[C@H]1C[C@@H](C(=O)O)CC1=C(F)F,1,248613,177.15,0.96,2.0,2.0,63.32,1.0,N,0.0,3.68,9.74,-2.04,-2.04,ZWITTERION,177.15,0.0,12.0,0.63,177.0601,C7H9F2NO2,3.0,3.0,0.0,0.61,1,0.7142857142857143
58,CHEMBL346631,CEP-7055,CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCOC(=O)CN(C)C)Cc1ccccc1-4)C(=O)NC3,1,250483,525.65,5.03,6.0,1.0,72.8,9.0,N,2.0,11.11,6.58,4.26,4.2,NEUTRAL,525.65,4.0,39.0,0.22,525.2628,C32H35N3O4,7.0,1.0,2.0,-0.32,1,0.2857142857142857
59,CHEMBL150894,CEP-5214,CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,1,250604,440.54,4.92,4.0,2.0,63.49,6.0,N,0.0,10.86,,3.92,3.92,NEUTRAL,440.54,4.0,33.0,0.39,440.21,C28H28N2O3,5.0,2.0,0.0,-0.04,1,0.8571428571428571
60,CHEMBL422872,AZD-4769,O=C(O)CSC(CCCc1ccccc1)c1ccc(OCc2ccc3ccccc3n2)cc1,1,263849,457.6,6.7,4.0,1.0,59.42,11.0,N,1.0,4.14,3.12,6.36,3.57,ACID,457.6,4.0,33.0,0.27,457.1712,C28H27NO3S,4.0,1.0,1.0,-0.44,1,0.2857142857142857
61,CHEMBL346919,APOCYNIN,COc1cc(C(C)=O)ccc1O,1,264242,166.18,1.6,3.0,1.0,46.53,2.0,Y,0.0,8.27,,1.07,1.02,NEUTRAL,166.18,1.0,12.0,0.68,166.063,C9H10O3,3.0,1.0,0.0,0.37,1,0.7142857142857143
62,CHEMBL353581,PYROXAMIDE,O=C(CCCCCCC(=O)Nc1cccnc1)NO,1,273911,265.31,1.87,4.0,3.0,91.32,8.0,N,0.0,8.91,4.38,0.79,0.77,NEUTRAL,265.31,1.0,19.0,0.38,265.1426,C13H19N3O3,6.0,3.0,0.0,-0.99,1,0.7142857142857143
63,CHEMBL351706,BMS-214662,N#Cc1ccc2c(c1)CN(S(=O)(=O)c1cccs1)[C@H](Cc1ccccc1)CN2Cc1c[nH]cn1,1,274775,489.63,4.17,6.0,1.0,93.09,6.0,N,0.0,12.9,6.25,4.25,4.22,NEUTRAL,489.63,4.0,34.0,0.44,489.1293,C25H23N5O2S2,7.0,1.0,0.0,-1.54,1,0.8571428571428571
64,CHEMBL164660,PSORALEN,O=c1ccc2cc3ccoc3cc2o1,1,278534,186.17,2.54,3.0,0.0,43.35,0.0,Y,0.0,,,1.94,1.94,NEUTRAL,186.17,3.0,14.0,0.51,186.0317,C11H6O3,3.0,0.0,0.0,0.94,1,0.5714285714285714
65,CHEMBL170630,ETHANE DIMETHANE SULFONATE,CS(=O)(=O)OCCOS(C)(=O)=O,1,287434,218.25,-1.06,6.0,0.0,86.74,5.0,N,0.0,,,-1.34,-1.34,,218.25,0.0,12.0,0.43,217.9919,C4H10O6S2,6.0,0.0,0.0,-0.22,1,0.8571428571428571
66,CHEMBL178654,HKI-357,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,1,299083,574.06,6.68,7.0,2.0,99.51,11.0,N,2.0,12.55,8.81,5.75,4.33,BASE,574.06,4.0,41.0,0.19,573.1943,C31H29ClFN5O3,8.0,2.0,2.0,-1.59,1,0.2857142857142857
67,CHEMBL186113,GW-328267,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccccc5)nc43)[C@H](O)[C@@H]2O)n1,1,311899,482.51,-0.58,14.0,5.0,195.17,8.0,N,1.0,12.29,6.55,0.61,0.6,NEUTRAL,482.51,4.0,35.0,0.21,482.2138,C21H26N10O4,14.0,6.0,2.0,-0.17,1,0.42857142857142855
68,CHEMBL184238,URB-597,NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1,1,312994,338.41,3.87,3.0,2.0,81.42,4.0,N,0.0,,,3.77,3.77,NEUTRAL,338.41,2.0,25.0,0.89,338.163,C20H22N2O3,5.0,3.0,0.0,-0.91,1,1.0
69,CHEMBL445332,SALVINORIN A,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C,1,316021,432.47,3.0,8.0,0.0,109.11,3.0,N,0.0,,,2.39,2.39,NEUTRAL,432.47,1.0,31.0,0.53,432.1784,C23H28O8,8.0,0.0,0.0,2.98,1,0.7142857142857143
70,CHEMBL427526,(R)-IBUPROPHEN,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,1,318076,206.28,3.07,1.0,1.0,37.3,4.0,N,0.0,4.85,,3.84,1.34,ACID,206.28,1.0,15.0,0.82,206.1307,C13H18O2,2.0,1.0,0.0,0.14,1,0.7142857142857143
71,CHEMBL190333,RWJ-67657,OCCC#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1CCCc1ccccc1,1,320136,425.51,5.12,4.0,1.0,50.94,7.0,N,1.0,,4.89,5.43,5.43,NEUTRAL,425.51,4.0,32.0,0.42,425.1903,C27H24FN3O,4.0,1.0,1.0,-0.84,1,0.2857142857142857
72,CHEMBL192986,RSM-932A,CN(c1ccc(Cl)cc1)c1cc[n+](Cc2ccc(-c3ccc(C[n+]4ccc(N(C)c5ccc(Cl)cc5)c5ccccc54)cc3)cc2)c2ccccc12.[Br-].[Br-],1,321942,717.74,11.17,2.0,0.0,14.24,9.0,N,2.0,,,3.32,3.32,NEUTRAL,877.55,8.0,52.0,0.14,716.2463,C46H38Br2Cl2N4,4.0,0.0,2.0,-0.37,1,0.2857142857142857
73,CHEMBL191958,GENZ-644282,CNCCn1c(=O)c2cc(OC)c(OC)cc2c2cnc3cc4c(cc3c21)OCO4,1,323631,407.43,2.67,8.0,1.0,83.84,5.0,N,0.0,,9.18,1.7,-0.07,BASE,407.43,4.0,30.0,0.51,407.1481,C22H21N3O5,8.0,1.0,0.0,-0.25,1,0.8571428571428571
